Name,County
Littleville,Colbert County
Livingston,Sumter County
Loachapoka,Lee County
Lockhart,Covington County
Locust Fork,Blount County
Louisville,Barbour County
Lowndesboro,Lowndes County
Loxley,Baldwin County
Luverne,Crenshaw County
Lynn,Winston County
Madison,Madison County
Madison,Limestone County
Madrid,Houston County
Magnolia Springs ,Baldwin County
Malvern,Geneva County
Maplesville,Chilton County
Margaret,St. Clair County
Marion,Perry County
Maytown,Jefferson County
McIntosh,Washington County
McKenzie,Butler County
McKenzie,Conecuh County
McMullen,Pickens County
Memphis,Pickens County
Mentone,DeKalb County
Midfield,Jefferson County
Midland City,Dale County
Midway,Bullock County
Millbrook,Elmore County
Millbrook,Autauga County
Millport,Lamar County
Millry,Washington County
Mobile,Mobile County
Monroeville,Monroe County
Montevallo,Shelby County
Montgomery,Montgomery County
Moody,St. Clair County
Mooresville,Limestone County
Morris,Jefferson County
Mosses,Lowndes County
Moulton,Lawrence County
Moundville,Hale County
Moundville,Tuscaloosa County
Mount Vernon,Mobile County
Mountain Brook,Jefferson County
Mulga,Jefferson County
Munford,Talladega County
Muscle Shoals,Colbert County
Myrtlewood,Marengo County
Napier Field,Dale County
Natural Bridge,Winston County
Nauvoo,Walker County
Nauvoo,Winston County
Nectar,Blount County
Needham,Choctaw County
New Brockton,Coffee County
New Hope,Madison County
New Site,Tallapoosa County
Newbern,Hale County
Newton,Dale County
Newville,Henry County
North Courtland,Lawrence County
North Johns,Jefferson County
Northport,Tuscaloosa County
Notasulga,Macon County
Notasulga,Lee County
Oak Grove,Talladega County
Oak Hill,Wilcox County
Oakman,Walker County
Odenville,St. Clair County
Ohatchee,Calhoun County
Oneonta,Blount County
Onycha,Covington County
Opelika,Lee County
Opp,Covington County
Orange Beach,Baldwin County
Orrville,Dallas County
Owens Cross Roads,Madison County
Oxford,Calhoun County
Oxford,Talladega County
Ozark,Dale County
Paint Rock,Jackson County
Parrish,Walker County
Pelham,Shelby County
Pell City,St. Clair County
Pennington,Choctaw County
Perdido Beach,Baldwin County
Petrey,Crenshaw County
Phenix City,Russell County
Phenix City,Lee County
Phil Campbell,Franklin County
Pickensville,Pickens County
Piedmont,Calhoun County
Piedmont,Cherokee County
Pike Road,Montgomery County
Pinckard,Dale County
Pine Apple,Wilcox County
Pine Hill,Wilcox County
Pine Ridge,DeKalb County
Pinson,Jefferson County
Pisgah,Jackson County
Pleasant Grove,Jefferson County
Pleasant Groves,Jackson County
Pollard,Escambia County
Powell,DeKalb County
Prattville,Autauga County
Prattville,Elmore County
Priceville,Morgan County
Prichard,Mobile County
Providence,Marengo County
Ragland,St. Clair County
Rainbow City,Etowah County
Rainsville,DeKalb County
Ranburne,Cleburne County
Red Bay,Franklin County
Red Level,Covington County
Reece City,Etowah County
Reform,Pickens County
Rehobeth,Houston County
Repton,Conecuh County
Ridgeville,Etowah County
River Falls,Covington County
Riverside,St. Clair County
Riverview,Escambia County
Roanoke,Randolph County
Robertsdale,Baldwin County
Rockford,Coosa County
Rogersville,Lauderdale County
Rosa,Blount County
Russellville,Franklin County
Rutledge,Crenshaw County
St. Florian,Lauderdale County
Samson,Geneva County
Sand Rock,Cherokee County
Sand Rock,DeKalb County
Sanford,Covington County
Saraland,Mobile County
Sardis City,Etowah County
Satsuma,Mobile County
Scottsboro,Jackson County
Section,Jackson County
Selma,Dallas County
Sheffield,Colbert County
Shiloh,DeKalb County
Shorter,Macon County
Silas,Choctaw County
Silverhill,Baldwin County
Sipsey,Walker County
Skyline,Jackson County
Slocomb,Geneva County
Smiths Station,Lee County
Snead,Blount County
Somerville,Morgan County
South Vinemont,Cullman County
Southside,Etowah County
Southside,Calhoun County
Spanish Fort,Baldwin County
Springville,St. Clair County
Steele,St. Clair County
Stevenson,Jackson County
Sulligent,Lamar County
Sumiton,Walker County
Sumiton,Jefferson County
Summerdale,Baldwin County
Susan Moore,Blount County
Sweet Water,Marengo County
Sylacauga,Talladega County
Sylvan Springs,Jefferson County
Sylvania,DeKalb County
Talladega Springs,Talladega County
Talladega,Talladega County
Tallassee,Elmore County
Tallassee,Tallapoosa County
Tarrant,Jefferson County
Taylor,Houston County
Taylor,Geneva County
Thomaston,Marengo County
Thomasville,Clarke County
Thorsby,Chilton County
Town Creek,Lawrence County
Toxey,Choctaw County
Trafford,Jefferson County
Triana,Madison County
Trinity,Morgan County
Troy,Pike County
Trussville,Jefferson County
Trussville,St. Clair County
Tuscaloosa,Tuscaloosa County
Tuscumbia,Colbert County
Tuskegee,Macon County
Twin,Marion County
Union Grove,Marshall County
Union Springs,Bullock County
Union,Greene County
Uniontown,Perry County
Valley,Chambers County
Valley Grande,Dallas County
Valley Head,DeKalb County
Vance,Tuscaloosa County
Vance,Bibb County
Vernon,Lamar County
Vestavia Hills,Jefferson County
Vestavia Hills,Shelby County
Vina,Franklin County
Vincent,Shelby County
Vincent,St. Clair County
Vincent,Talladega County
Vredenburgh,Monroe County
Wadley,Randolph County
Waldo,Talladega County
Walnut Grove,Etowah County
Warrior,Jefferson County
Warrior,Blount County
Waterloo,Lauderdale County
Waverly,Chambers County
Waverly,Lee County
Weaver,Calhoun County
Webb,Houston County
Wedowee,Randolph County
West Blocton,Bibb County
West Jefferson,Jefferson County
West Point,Cullman County
Westover,Shelby County
Wetumpka,Elmore County
White Hall,Lowndes County
